t_s,R_att2_cm,U_mean_model,C_s_model,U_inferred_att2,R1_ideal_mean_cm,R3_crust_surface_cm,R3b_crust_mean_cm,R4_collapse_cm,R4b_crust_collapse_cm,R5_ideal_skeleton_cm,R5_pore_cm
1.710000000000000000e+05,1.199999999999999956e+00,1.229420738135150043e-01,5.293002782167340048e-02,2.779999999999998028e-01,1.124849698285747879e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.124849698285747879e+00,1.344902018802031307e+00,9.977327945472372894e-01,1.261969247056602406e+00
1.728000000000000000e+05,1.199999999999999956e+00,1.222139766966855029e-01,5.285789751108789514e-02,2.779999999999998028e-01,1.124484972161026164e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.124484972161026164e+00,1.344902018802031307e+00,9.972810013309083566e-01,1.261969247056602406e+00
1.746000000000000000e+05,1.199999999999999956e+00,1.215028727117435925e-01,5.278839652501697566e-02,2.779999999999998028e-01,1.124128644190373949e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.124128644190373949e+00,1.344902018802031307e+00,9.968395549104394071e-01,1.261969247056602406e+00
1.764000000000000000e+05,1.199999999999999956e+00,1.208081462403577527e-01,5.272139767645801778e-02,2.779999999999998028e-01,1.123780413737040851e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.123780413737040851e+00,1.344902018802031307e+00,9.964080866179588769e-01,1.261969247056602406e+00
1.782000000000000000e+05,1.199999999999999956e+00,1.201292112691693253e-01,5.265678135197213866e-02,2.779999999999998028e-01,1.123439994458253155e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.123439994458253155e+00,1.344902018802031307e+00,9.959862452376381237e-01,1.261969247056602406e+00
1.800000000000000000e+05,1.199999999999999956e+00,1.194655096367724795e-01,5.259443498052101401e-02,2.779999999999998028e-01,1.123107113468312157e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.123107113468312157e+00,1.344902018802031307e+00,9.955736959882373061e-01,1.261969247056602406e+00
1.818000000000000000e+05,1.199999999999999956e+00,1.188165094029777769e-01,5.253425254490923929e-02,2.779999999999998028e-01,1.122781510559405227e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122781510559405227e+00,1.344902018802031307e+00,9.951701195755214835e-01,1.261969247056602406e+00
1.836000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.854000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.872000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.890000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.908000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.926000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.944000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.962000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.980000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
1.998000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.016000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.034000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.052000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.070000000000000000e+05,1.199999999999999956e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.779999999999998028e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.088000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.106000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.124000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.142000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.160000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.178000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.196000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.214000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.232000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.250000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.268000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.286000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.304000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.322000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.340000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.358000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.376000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.394000000000000000e+05,1.199000000000000066e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.758708874999999949e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.412000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.430000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.448000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.466000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.484000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.502000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.520000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.538000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.556000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.574000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
2.592000000000000000e+05,1.197999999999999954e+00,1.184048008071020147e-01,5.249647516791810381e-02,2.737435499999998356e-01,1.122574907720915505e+00,1.344902018802031307e+00,1.169258014552490677e+00,1.122574907720915505e+00,1.344902018802031307e+00,9.949140164996862490e-01,1.261969247056602406e+00
