# surface_flux.csv —— 问题 1 表面量分项（fig14 的唯一数据源）
# 口径：j_w=rho_d,s*h_m*(U_s-C_env) [kg 水/(m²·s)]，正=脱湿；h_m=8e-7 m/s（附录2 延用）
# rho_d,s=(650+128*U_s)/(1+U_s) [kg/m³]（附录2 湿密度 ρ=650+128C 除以 1+C，同 latent_scenario.py 口径）
# D_s=D_附2(C_s)=7e-9*exp(-0.89/C_s) [m²/s]；C_env 为附件1 环境水分（线性插值到 1 s 网格）
# 生成：python plot_all.py fig14
t_s,Cs_kg_kg,Ts_K,rho_d_s_kg_m3,j_w_kg_m2_s,D_s_m2_s,C_env_kg_kg
352,2.014499,302.2176,301.1631,4.799877e-04,4.500160e-09,0.022274
353,2.013834,302.2217,301.2013,4.798867e-04,4.499504e-09,0.022281
354,2.013171,302.2258,301.2394,4.797860e-04,4.498849e-09,0.022288
355,2.012509,302.2300,301.2775,4.796853e-04,4.498194e-09,0.022295
356,2.011848,302.2341,301.3155,4.795849e-04,4.497541e-09,0.022302
357,2.011188,302.2382,301.3535,4.794846e-04,4.496888e-09,0.022309
358,2.010530,302.2424,301.3914,4.793844e-04,4.496236e-09,0.022316
359,2.009872,302.2465,301.4293,4.792844e-04,4.495585e-09,0.022323
360,2.009216,302.2506,301.4671,4.791846e-04,4.494935e-09,0.022330
361,2.008561,302.2548,301.5049,4.790848e-04,4.494286e-09,0.022337
362,2.007907,302.2590,301.5426,4.789852e-04,4.493637e-09,0.022345
363,2.007254,302.2631,301.5803,4.788857e-04,4.492989e-09,0.022353
364,2.006602,302.2673,301.6179,4.787864e-04,4.492342e-09,0.022360
365,2.005951,302.2716,301.6555,4.786872e-04,4.491696e-09,0.022367
366,2.005302,302.2758,301.6930,4.785882e-04,4.491051e-09,0.022375
367,2.004654,302.2800,301.7305,4.784893e-04,4.490406e-09,0.022382
368,2.004006,302.2842,301.7679,4.783906e-04,4.489762e-09,0.022390
369,2.003360,302.2885,301.8053,4.782921e-04,4.489119e-09,0.022398
370,2.002715,302.2927,301.8427,4.781937e-04,4.488477e-09,0.022405
371,2.002071,302.2970,301.8799,4.780954e-04,4.487836e-09,0.022412
372,2.001429,302.3012,301.9172,4.779974e-04,4.487195e-09,0.022420
373,2.000787,302.3055,301.9544,4.778994e-04,4.486555e-09,0.022427
374,2.000146,302.3098,301.9915,4.778016e-04,4.485916e-09,0.022435
375,1.999507,302.3141,302.0286,4.777040e-04,4.485277e-09,0.022443
376,1.998868,302.3183,302.0657,4.776065e-04,4.484640e-09,0.022450
377,1.998231,302.3226,302.1027,4.775091e-04,4.484003e-09,0.022457
378,1.997595,302.3269,302.1396,4.774119e-04,4.483367e-09,0.022465
379,1.996959,302.3312,302.1765,4.773149e-04,4.482731e-09,0.022472
380,1.996325,302.3355,302.2134,4.772180e-04,4.482097e-09,0.022480
381,1.995692,302.3398,302.2502,4.771212e-04,4.481463e-09,0.022488
382,1.995060,302.3441,302.2870,4.770246e-04,4.480830e-09,0.022495
383,1.994429,302.3485,302.3237,4.769281e-04,4.480197e-09,0.022503
384,1.993799,302.3528,302.3604,4.768318e-04,4.479566e-09,0.022510
385,1.993170,302.3571,302.3970,4.767356e-04,4.478935e-09,0.022517
386,1.992542,302.3614,302.4336,4.766396e-04,4.478305e-09,0.022525
387,1.991915,302.3658,302.4702,4.765437e-04,4.477675e-09,0.022533
388,1.991290,302.3701,302.5067,4.764479e-04,4.477047e-09,0.022540
389,1.990665,302.3745,302.5431,4.763523e-04,4.476419e-09,0.022548
390,1.990041,302.3788,302.5795,4.762568e-04,4.475791e-09,0.022555
391,1.989418,302.3832,302.6159,4.761615e-04,4.475165e-09,0.022562
392,1.988796,302.3875,302.6522,4.760663e-04,4.474539e-09,0.022570
393,1.988176,302.3919,302.6885,4.759712e-04,4.473914e-09,0.022578
394,1.987556,302.3963,302.7248,4.758763e-04,4.473289e-09,0.022585
395,1.986937,302.4006,302.7610,4.757815e-04,4.472666e-09,0.022593
396,1.986320,302.4050,302.7971,4.756869e-04,4.472043e-09,0.022600
397,1.985703,302.4094,302.8332,4.755924e-04,4.471420e-09,0.022607
398,1.985087,302.4138,302.8693,4.754980e-04,4.470799e-09,0.022615
399,1.984472,302.4182,302.9053,4.754037e-04,4.470178e-09,0.022623
400,1.983858,302.4226,302.9413,4.753096e-04,4.469558e-09,0.022630
401,1.983246,302.4270,302.9772,4.752157e-04,4.468938e-09,0.022638
402,1.982634,302.4314,303.0131,4.751218e-04,4.468319e-09,0.022645
403,1.982023,302.4358,303.0490,4.750281e-04,4.467701e-09,0.022653
404,1.981413,302.4402,303.0848,4.749346e-04,4.467084e-09,0.022660
405,1.980804,302.4446,303.1205,4.748411e-04,4.466467e-09,0.022668
406,1.980196,302.4490,303.1563,4.747478e-04,4.465851e-09,0.022675
407,1.979589,302.4535,303.1919,4.746547e-04,4.465235e-09,0.022683
408,1.978983,302.4579,303.2276,4.745616e-04,4.464621e-09,0.022690
409,1.978378,302.4623,303.2632,4.744687e-04,4.464007e-09,0.022698
410,1.977774,302.4668,303.2987,4.743759e-04,4.463393e-09,0.022705
411,1.977171,302.4712,303.3343,4.742833e-04,4.462780e-09,0.022713
412,1.976568,302.4756,303.3697,4.741908e-04,4.462168e-09,0.022720
413,1.975967,302.4801,303.4052,4.740984e-04,4.461557e-09,0.022728
414,1.975367,302.4845,303.4406,4.740061e-04,4.460946e-09,0.022735
415,1.974767,302.4890,303.4759,4.739140e-04,4.460336e-09,0.022743
416,1.974169,302.4935,303.5112,4.738220e-04,4.459727e-09,0.022750
417,1.973571,302.4979,303.5465,4.737301e-04,4.459118e-09,0.022757
418,1.972974,302.5024,303.5817,4.736383e-04,4.458510e-09,0.022765
419,1.972379,302.5069,303.6169,4.735467e-04,4.457902e-09,0.022773
420,1.971784,302.5113,303.6521,4.734552e-04,4.457295e-09,0.022780
421,1.971190,302.5157,303.6872,4.733638e-04,4.456689e-09,0.022788
422,1.970597,302.5201,303.7223,4.732724e-04,4.456084e-09,0.022796
423,1.970004,302.5244,303.7573,4.731812e-04,4.455479e-09,0.022804
424,1.969413,302.5287,303.7923,4.730901e-04,4.454874e-09,0.022811
425,1.968823,302.5329,303.8273,4.729992e-04,4.454271e-09,0.022819
426,1.968233,302.5371,303.8622,4.729083e-04,4.453668e-09,0.022827
427,1.967645,302.5413,303.8971,4.728176e-04,4.453065e-09,0.022835
428,1.967057,302.5455,303.9319,4.727270e-04,4.452464e-09,0.022843
429,1.966470,302.5497,303.9667,4.726365e-04,4.451863e-09,0.022851
430,1.965884,302.5539,304.0015,4.725462e-04,4.451262e-09,0.022858
431,1.965299,302.5580,304.0362,4.724560e-04,4.450662e-09,0.022866
432,1.964715,302.5621,304.0709,4.723659e-04,4.450063e-09,0.022874
433,1.964132,302.5663,304.1055,4.722759e-04,4.449464e-09,0.022882
434,1.963549,302.5704,304.1401,4.721860e-04,4.448866e-09,0.022890
435,1.962968,302.5745,304.1747,4.720962e-04,4.448269e-09,0.022898
436,1.962387,302.5786,304.2093,4.720066e-04,4.447672e-09,0.022905
437,1.961807,302.5826,304.2438,4.719171e-04,4.447076e-09,0.022913
438,1.961228,302.5867,304.2782,4.718277e-04,4.446480e-09,0.022921
439,1.960650,302.5908,304.3126,4.717384e-04,4.445885e-09,0.022929
440,1.960073,302.5948,304.3470,4.716492e-04,4.445291e-09,0.022937
441,1.959496,302.5989,304.3814,4.715602e-04,4.444697e-09,0.022944
442,1.958920,302.6029,304.4157,4.714713e-04,4.444104e-09,0.022952
443,1.958346,302.6069,304.4500,4.713824e-04,4.443511e-09,0.022960
444,1.957772,302.6110,304.4842,4.712937e-04,4.442919e-09,0.022968
445,1.957199,302.6150,304.5184,4.712052e-04,4.442328e-09,0.022976
446,1.956626,302.6190,304.5526,4.711167e-04,4.441737e-09,0.022984
447,1.956055,302.6230,304.5867,4.710283e-04,4.441147e-09,0.022992
448,1.955484,302.6270,304.6208,4.709401e-04,4.440557e-09,0.022999
449,1.954914,302.6310,304.6549,4.708520e-04,4.439968e-09,0.023007
450,1.954345,302.6350,304.6889,4.707639e-04,4.439380e-09,0.023015
451,1.953777,302.6390,304.7229,4.706760e-04,4.438792e-09,0.023023
452,1.953210,302.6429,304.7568,4.705882e-04,4.438205e-09,0.023031
453,1.952643,302.6469,304.7907,4.705006e-04,4.437618e-09,0.023038
454,1.952078,302.6509,304.8246,4.704130e-04,4.437032e-09,0.023046
455,1.951513,302.6548,304.8585,4.703255e-04,4.436446e-09,0.023054
456,1.950949,302.6588,304.8923,4.702382e-04,4.435861e-09,0.023062
457,1.950385,302.6627,304.9260,4.701509e-04,4.435277e-09,0.023070
458,1.949823,302.6667,304.9598,4.700638e-04,4.434693e-09,0.023078
459,1.949261,302.6706,304.9935,4.699768e-04,4.434110e-09,0.023086
460,1.948700,302.6746,305.0272,4.698899e-04,4.433527e-09,0.023093
461,1.948140,302.6785,305.0608,4.698031e-04,4.432945e-09,0.023101
462,1.947581,302.6824,305.0944,4.697164e-04,4.432363e-09,0.023109
463,1.947022,302.6864,305.1280,4.696298e-04,4.431782e-09,0.023117
464,1.946464,302.6903,305.1615,4.695433e-04,4.431202e-09,0.023125
465,1.945907,302.6942,305.1950,4.694570e-04,4.430622e-09,0.023133
466,1.945351,302.6981,305.2285,4.693707e-04,4.430042e-09,0.023140
467,1.944795,302.7020,305.2619,4.692845e-04,4.429464e-09,0.023148
468,1.944241,302.7059,305.2953,4.691985e-04,4.428885e-09,0.023156
469,1.943687,302.7098,305.3286,4.691126e-04,4.428308e-09,0.023164
470,1.943134,302.7137,305.3620,4.690267e-04,4.427730e-09,0.023172
471,1.942581,302.7176,305.3953,4.689410e-04,4.427154e-09,0.023179
472,1.942030,302.7215,305.4285,4.688554e-04,4.426578e-09,0.023187
473,1.941479,302.7254,305.4618,4.687698e-04,4.426002e-09,0.023195
474,1.940929,302.7293,305.4950,4.686844e-04,4.425427e-09,0.023203
475,1.940379,302.7332,305.5281,4.685991e-04,4.424853e-09,0.023211
476,1.939831,302.7371,305.5612,4.685139e-04,4.424279e-09,0.023219
477,1.939283,302.7409,305.5943,4.684288e-04,4.423705e-09,0.023227
478,1.938736,302.7448,305.6274,4.683438e-04,4.423132e-09,0.023234
479,1.938189,302.7487,305.6604,4.682589e-04,4.422560e-09,0.023242
480,1.937644,302.7526,305.6934,4.681741e-04,4.421988e-09,0.023250
481,1.937099,302.7565,305.7264,4.680892e-04,4.421417e-09,0.023259
482,1.936555,302.7606,305.7593,4.680044e-04,4.420846e-09,0.023267
483,1.936011,302.7647,305.7922,4.679197e-04,4.420276e-09,0.023276
484,1.935469,302.7689,305.8251,4.678351e-04,4.419706e-09,0.023285
485,1.934927,302.7731,305.8579,4.677506e-04,4.419137e-09,0.023293
486,1.934386,302.7773,305.8907,4.676662e-04,4.418568e-09,0.023302
487,1.933845,302.7816,305.9235,4.675819e-04,4.418000e-09,0.023311
488,1.933305,302.7859,305.9562,4.674977e-04,4.417433e-09,0.023319
489,1.932766,302.7902,305.9889,4.674136e-04,4.416865e-09,0.023328
490,1.932228,302.7945,306.0216,4.673296e-04,4.416299e-09,0.023337
491,1.931690,302.7988,306.0543,4.672457e-04,4.415733e-09,0.023345
492,1.931154,302.8032,306.0869,4.671619e-04,4.415167e-09,0.023354
493,1.930617,302.8076,306.1195,4.670782e-04,4.414602e-09,0.023363
494,1.930082,302.8120,306.1520,4.669946e-04,4.414038e-09,0.023371
495,1.929547,302.8165,306.1845,4.669111e-04,4.413474e-09,0.023380
496,1.929013,302.8209,306.2170,4.668277e-04,4.412910e-09,0.023389
497,1.928480,302.8254,306.2495,4.667444e-04,4.412347e-09,0.023397
498,1.927947,302.8299,306.2819,4.666612e-04,4.411785e-09,0.023406
499,1.927415,302.8343,306.3143,4.665781e-04,4.411223e-09,0.023415
500,1.926884,302.8389,306.3467,4.664951e-04,4.410661e-09,0.023423
501,1.926354,302.8434,306.3790,4.664122e-04,4.410100e-09,0.023432
502,1.925824,302.8479,306.4113,4.663293e-04,4.409540e-09,0.023441
503,1.925295,302.8525,306.4436,4.662466e-04,4.408980e-09,0.023449
504,1.924766,302.8570,306.4758,4.661640e-04,4.408420e-09,0.023458
505,1.924239,302.8616,306.5080,4.660814e-04,4.407861e-09,0.023467
506,1.923711,302.8662,306.5402,4.659990e-04,4.407302e-09,0.023475
507,1.923185,302.8708,306.5723,4.659166e-04,4.406744e-09,0.023484
508,1.922659,302.8754,306.6045,4.658344e-04,4.406187e-09,0.023493
509,1.922134,302.8800,306.6366,4.657522e-04,4.405630e-09,0.023501
510,1.921610,302.8847,306.6686,4.656701e-04,4.405073e-09,0.023510
511,1.921086,302.8893,306.7006,4.655882e-04,4.404517e-09,0.023519
512,1.920563,302.8940,306.7326,4.655063e-04,4.403961e-09,0.023527
513,1.920041,302.8987,306.7646,4.654245e-04,4.403406e-09,0.023536
514,1.919519,302.9034,306.7966,4.653428e-04,4.402851e-09,0.023545
515,1.918998,302.9080,306.8285,4.652612e-04,4.402297e-09,0.023553
516,1.918478,302.9128,306.8604,4.651797e-04,4.401744e-09,0.023562
517,1.917958,302.9175,306.8922,4.650982e-04,4.401190e-09,0.023571
518,1.917439,302.9222,306.9240,4.650169e-04,4.400638e-09,0.023579
519,1.916921,302.9269,306.9558,4.649357e-04,4.400085e-09,0.023588
520,1.916403,302.9317,306.9876,4.648545e-04,4.399533e-09,0.023597
521,1.915886,302.9364,307.0193,4.647734e-04,4.398982e-09,0.023605
522,1.915370,302.9412,307.0510,4.646925e-04,4.398431e-09,0.023614
523,1.914854,302.9460,307.0827,4.646116e-04,4.397881e-09,0.023623
524,1.914339,302.9507,307.1144,4.645308e-04,4.397331e-09,0.023631
525,1.913825,302.9555,307.1460,4.644501e-04,4.396781e-09,0.023640
526,1.913311,302.9603,307.1776,4.643695e-04,4.396232e-09,0.023649
527,1.912798,302.9651,307.2092,4.642890e-04,4.395684e-09,0.023657
528,1.912285,302.9700,307.2407,4.642085e-04,4.395136e-09,0.023666
529,1.911773,302.9748,307.2722,4.641282e-04,4.394588e-09,0.023675
530,1.911262,302.9796,307.3037,4.640479e-04,4.394041e-09,0.023683
531,1.910751,302.9845,307.3351,4.639677e-04,4.393494e-09,0.023692
532,1.910241,302.9893,307.3666,4.638876e-04,4.392948e-09,0.023701
533,1.909732,302.9942,307.3980,4.638076e-04,4.392402e-09,0.023709
534,1.909223,302.9991,307.4293,4.637277e-04,4.391856e-09,0.023718
535,1.908715,303.0039,307.4607,4.636479e-04,4.391312e-09,0.023727
536,1.908208,303.0088,307.4920,4.635682e-04,4.390767e-09,0.023735
537,1.907701,303.0137,307.5233,4.634885e-04,4.390223e-09,0.023744
538,1.907195,303.0186,307.5545,4.634089e-04,4.389679e-09,0.023753
539,1.906689,303.0235,307.5858,4.633295e-04,4.389136e-09,0.023761
540,1.906184,303.0284,307.6170,4.632501e-04,4.388594e-09,0.023770
541,1.905680,303.0333,307.6481,4.631708e-04,4.388051e-09,0.023779
542,1.905176,303.0382,307.6793,4.630916e-04,4.387510e-09,0.023787
543,1.904673,303.0430,307.7104,4.630125e-04,4.386968e-09,0.023796
544,1.904171,303.0478,307.7415,4.629335e-04,4.386427e-09,0.023804
545,1.903669,303.0526,307.7726,4.628546e-04,4.385887e-09,0.023813
546,1.903167,303.0574,307.8036,4.627757e-04,4.385347e-09,0.023821
547,1.902667,303.0622,307.8346,4.626969e-04,4.384807e-09,0.023829
548,1.902167,303.0670,307.8656,4.626183e-04,4.384268e-09,0.023838
549,1.901667,303.0718,307.8966,4.625397e-04,4.383729e-09,0.023846
550,1.901168,303.0766,307.9275,4.624611e-04,4.383191e-09,0.023855
551,1.900670,303.0813,307.9584,4.623827e-04,4.382653e-09,0.023863
552,1.900172,303.0861,307.9893,4.623044e-04,4.382116e-09,0.023872
553,1.899675,303.0909,308.0202,4.622261e-04,4.381579e-09,0.023880
554,1.899179,303.0956,308.0510,4.621479e-04,4.381042e-09,0.023889
555,1.898683,303.1004,308.0818,4.620698e-04,4.380506e-09,0.023897
556,1.898188,303.1052,308.1126,4.619918e-04,4.379970e-09,0.023906
557,1.897693,303.1099,308.1433,4.619139e-04,4.379435e-09,0.023914
558,1.897199,303.1147,308.1740,4.618360e-04,4.378900e-09,0.023923
559,1.896705,303.1195,308.2047,4.617582e-04,4.378365e-09,0.023931
560,1.896212,303.1242,308.2354,4.616805e-04,4.377831e-09,0.023940
561,1.895720,303.1290,308.2660,4.616029e-04,4.377298e-09,0.023949
562,1.895228,303.1337,308.2967,4.615254e-04,4.376764e-09,0.023957
563,1.894737,303.1385,308.3273,4.614479e-04,4.376232e-09,0.023966
564,1.894247,303.1433,308.3578,4.613705e-04,4.375699e-09,0.023974
565,1.893757,303.1480,308.3884,4.612932e-04,4.375167e-09,0.023983
566,1.893267,303.1528,308.4189,4.612160e-04,4.374636e-09,0.023991
567,1.892778,303.1575,308.4494,4.611389e-04,4.374105e-09,0.023999
568,1.892290,303.1623,308.4798,4.610618e-04,4.373574e-09,0.024008
569,1.891802,303.1671,308.5103,4.609848e-04,4.373044e-09,0.024016
570,1.891315,303.1718,308.5407,4.609079e-04,4.372514e-09,0.024025
571,1.890828,303.1766,308.5711,4.608311e-04,4.371984e-09,0.024033
572,1.890342,303.1813,308.6014,4.607544e-04,4.371455e-09,0.024042
573,1.889857,303.1861,308.6318,4.606777e-04,4.370926e-09,0.024050
574,1.889372,303.1909,308.6621,4.606011e-04,4.370398e-09,0.024059
575,1.888888,303.1956,308.6924,4.605246e-04,4.369870e-09,0.024067
576,1.888404,303.2004,308.7227,4.604482e-04,4.369343e-09,0.024076
577,1.887921,303.2052,308.7529,4.603718e-04,4.368816e-09,0.024084
578,1.887438,303.2099,308.7831,4.602955e-04,4.368289e-09,0.024093
579,1.886956,303.2147,308.8133,4.602193e-04,4.367763e-09,0.024101
580,1.886474,303.2195,308.8435,4.601432e-04,4.367237e-09,0.024110
581,1.885993,303.2243,308.8736,4.600672e-04,4.366712e-09,0.024119
582,1.885513,303.2290,308.9037,4.599912e-04,4.366187e-09,0.024127
583,1.885033,303.2338,308.9338,4.599153e-04,4.365662e-09,0.024136
584,1.884553,303.2386,308.9639,4.598395e-04,4.365138e-09,0.024144
585,1.884075,303.2434,308.9939,4.597637e-04,4.364614e-09,0.024153
586,1.883596,303.2481,309.0239,4.596880e-04,4.364090e-09,0.024161
587,1.883119,303.2529,309.0539,4.596125e-04,4.363567e-09,0.024170
588,1.882641,303.2577,309.0839,4.595369e-04,4.363045e-09,0.024178
589,1.882165,303.2625,309.1139,4.594615e-04,4.362522e-09,0.024186
590,1.881689,303.2673,309.1438,4.593861e-04,4.362000e-09,0.024195
591,1.881213,303.2721,309.1737,4.593108e-04,4.361479e-09,0.024203
592,1.880738,303.2769,309.2036,4.592356e-04,4.360958e-09,0.024212
593,1.880264,303.2816,309.2334,4.591604e-04,4.360437e-09,0.024220
594,1.879790,303.2864,309.2632,4.590854e-04,4.359917e-09,0.024229
595,1.879316,303.2912,309.2930,4.590104e-04,4.359397e-09,0.024237
596,1.878843,303.2960,309.3228,4.589354e-04,4.358877e-09,0.024246
597,1.878371,303.3008,309.3526,4.588606e-04,4.358358e-09,0.024254
598,1.877899,303.3056,309.3823,4.587858e-04,4.357839e-09,0.024263
599,1.877428,303.3104,309.4120,4.587111e-04,4.357321e-09,0.024271
600,1.876957,303.3152,309.4417,4.586365e-04,4.356803e-09,0.024280
601,1.876487,303.3201,309.4714,4.585625e-04,4.356285e-09,0.024286
602,1.876017,303.3250,309.5010,4.584885e-04,4.355767e-09,0.024292
603,1.875548,303.3300,309.5306,4.584147e-04,4.355250e-09,0.024299
604,1.875079,303.3350,309.5602,4.583409e-04,4.354734e-09,0.024305
605,1.874611,303.3401,309.5898,4.582672e-04,4.354218e-09,0.024311
606,1.874143,303.3451,309.6193,4.581936e-04,4.353702e-09,0.024317
607,1.873676,303.3502,309.6489,4.581200e-04,4.353186e-09,0.024323
608,1.873209,303.3553,309.6784,4.580465e-04,4.352671e-09,0.024329
609,1.872743,303.3605,309.7079,4.579731e-04,4.352156e-09,0.024335
610,1.872277,303.3656,309.7373,4.578997e-04,4.351642e-09,0.024342
611,1.871812,303.3708,309.7668,4.578264e-04,4.351128e-09,0.024348
612,1.871347,303.3759,309.7962,4.577532e-04,4.350614e-09,0.024354
613,1.870883,303.3811,309.8256,4.576801e-04,4.350101e-09,0.024360
614,1.870420,303.3863,309.8549,4.576070e-04,4.349588e-09,0.024366
615,1.869956,303.3916,309.8843,4.575340e-04,4.349075e-09,0.024372
616,1.869494,303.3968,309.9136,4.574610e-04,4.348563e-09,0.024379
617,1.869032,303.4021,309.9429,4.573882e-04,4.348051e-09,0.024385
618,1.868570,303.4073,309.9722,4.573154e-04,4.347540e-09,0.024391
619,1.868109,303.4126,310.0015,4.572426e-04,4.347029e-09,0.024397
620,1.867648,303.4179,310.0307,4.571700e-04,4.346518e-09,0.024403
621,1.867188,303.4232,310.0599,4.570974e-04,4.346007e-09,0.024410
622,1.866728,303.4285,310.0891,4.570249e-04,4.345497e-09,0.024416
623,1.866269,303.4339,310.1183,4.569524e-04,4.344987e-09,0.024422
624,1.865810,303.4392,310.1474,4.568800e-04,4.344478e-09,0.024428
625,1.865352,303.4446,310.1766,4.568077e-04,4.343969e-09,0.024434
626,1.864895,303.4499,310.2057,4.567354e-04,4.343460e-09,0.024440
627,1.864437,303.4553,310.2347,4.566633e-04,4.342952e-09,0.024446
628,1.863981,303.4607,310.2638,4.565911e-04,4.342444e-09,0.024453
629,1.863524,303.4661,310.2928,4.565191e-04,4.341937e-09,0.024459
630,1.863069,303.4715,310.3219,4.564471e-04,4.341429e-09,0.024465
631,1.862613,303.4769,310.3509,4.563752e-04,4.340922e-09,0.024471
632,1.862158,303.4824,310.3798,4.563033e-04,4.340416e-09,0.024477
633,1.861704,303.4878,310.4088,4.562316e-04,4.339910e-09,0.024483
634,1.861250,303.4933,310.4377,4.561598e-04,4.339404e-09,0.024490
635,1.860797,303.4987,310.4666,4.560882e-04,4.338898e-09,0.024496
636,1.860344,303.5042,310.4955,4.560166e-04,4.338393e-09,0.024502
637,1.859892,303.5097,310.5244,4.559451e-04,4.337888e-09,0.024508
638,1.859440,303.5152,310.5532,4.558736e-04,4.337384e-09,0.024514
639,1.858988,303.5207,310.5821,4.558022e-04,4.336880e-09,0.024520
640,1.858537,303.5262,310.6109,4.557309e-04,4.336376e-09,0.024527
641,1.858087,303.5317,310.6397,4.556597e-04,4.335872e-09,0.024533
642,1.857637,303.5373,310.6684,4.555885e-04,4.335369e-09,0.024539
643,1.857187,303.5428,310.6972,4.555173e-04,4.334866e-09,0.024545
644,1.856738,303.5483,310.7259,4.554463e-04,4.334364e-09,0.024551
645,1.856289,303.5539,310.7546,4.553753e-04,4.333862e-09,0.024557
646,1.855841,303.5595,310.7833,4.553044e-04,4.333360e-09,0.024564
647,1.855394,303.5650,310.8119,4.552335e-04,4.332859e-09,0.024570
648,1.854946,303.5706,310.8406,4.551627e-04,4.332358e-09,0.024576
649,1.854500,303.5762,310.8692,4.550919e-04,4.331857e-09,0.024582
650,1.854053,303.5818,310.8978,4.550213e-04,4.331357e-09,0.024588
651,1.853607,303.5874,310.9264,4.549507e-04,4.330857e-09,0.024594
652,1.853162,303.5930,310.9549,4.548801e-04,4.330357e-09,0.024601
653,1.852717,303.5987,310.9834,4.548096e-04,4.329857e-09,0.024607
654,1.852273,303.6043,311.0120,4.547392e-04,4.329358e-09,0.024613
655,1.851829,303.6099,311.0405,4.546688e-04,4.328860e-09,0.024619
656,1.851385,303.6156,311.0689,4.545986e-04,4.328361e-09,0.024625
657,1.850942,303.6213,311.0974,4.545283e-04,4.327863e-09,0.024631
658,1.850499,303.6269,311.1258,4.544582e-04,4.327365e-09,0.024638
659,1.850057,303.6326,311.1542,4.543881e-04,4.326868e-09,0.024644
660,1.849615,303.6383,311.1826,4.543180e-04,4.326371e-09,0.024650
661,1.849174,303.6439,311.2110,4.542479e-04,4.325874e-09,0.024657
662,1.848733,303.6494,311.2393,4.541778e-04,4.325378e-09,0.024664
663,1.848293,303.6548,311.2677,4.541078e-04,4.324882e-09,0.024670
664,1.847853,303.6603,311.2960,4.540378e-04,4.324386e-09,0.024677
665,1.847414,303.6657,311.3243,4.539679e-04,4.323890e-09,0.024684
666,1.846975,303.6711,311.3525,4.538981e-04,4.323395e-09,0.024691
667,1.846536,303.6764,311.3808,4.538283e-04,4.322900e-09,0.024698
668,1.846098,303.6818,311.4090,4.537586e-04,4.322406e-09,0.024705
669,1.845660,303.6871,311.4372,4.536889e-04,4.321912e-09,0.024711
670,1.845223,303.6924,311.4654,4.536194e-04,4.321418e-09,0.024718
671,1.844786,303.6977,311.4936,4.535498e-04,4.320924e-09,0.024725
672,1.844350,303.7030,311.5217,4.534804e-04,4.320431e-09,0.024732
673,1.843914,303.7082,311.5499,4.534110e-04,4.319938e-09,0.024739
674,1.843478,303.7135,311.5780,4.533416e-04,4.319446e-09,0.024746
675,1.843043,303.7187,311.6061,4.532723e-04,4.318954e-09,0.024752
676,1.842609,303.7239,311.6341,4.532031e-04,4.318462e-09,0.024759
677,1.842174,303.7292,311.6622,4.531340e-04,4.317970e-09,0.024766
678,1.841741,303.7344,311.6902,4.530649e-04,4.317479e-09,0.024773
679,1.841307,303.7396,311.7182,4.529958e-04,4.316988e-09,0.024780
680,1.840875,303.7448,311.7462,4.529268e-04,4.316497e-09,0.024787
681,1.840442,303.7499,311.7742,4.528579e-04,4.316007e-09,0.024793
682,1.840010,303.7551,311.8022,4.527891e-04,4.315517e-09,0.024800
683,1.839578,303.7603,311.8301,4.527203e-04,4.315027e-09,0.024807
684,1.839147,303.7655,311.8580,4.526515e-04,4.314538e-09,0.024814
685,1.838717,303.7706,311.8859,4.525828e-04,4.314049e-09,0.024821
686,1.838286,303.7758,311.9138,4.525142e-04,4.313560e-09,0.024828
687,1.837856,303.7809,311.9417,4.524456e-04,4.313072e-09,0.024834
688,1.837427,303.7860,311.9695,4.523771e-04,4.312584e-09,0.024841
689,1.836998,303.7912,311.9973,4.523087e-04,4.312096e-09,0.024848
690,1.836569,303.7963,312.0251,4.522403e-04,4.311608e-09,0.024855
691,1.836141,303.8014,312.0529,4.521720e-04,4.311121e-09,0.024862
692,1.835713,303.8065,312.0807,4.521037e-04,4.310634e-09,0.024869
693,1.835286,303.8116,312.1084,4.520355e-04,4.310147e-09,0.024875
694,1.834859,303.8168,312.1361,4.519673e-04,4.309661e-09,0.024882
695,1.834433,303.8219,312.1638,4.518992e-04,4.309175e-09,0.024889
696,1.834007,303.8270,312.1915,4.518312e-04,4.308689e-09,0.024896
697,1.833581,303.8320,312.2192,4.517632e-04,4.308204e-09,0.024903
698,1.833156,303.8371,312.2469,4.516953e-04,4.307719e-09,0.024910
699,1.832731,303.8422,312.2745,4.516274e-04,4.307234e-09,0.024916
700,1.832306,303.8473,312.3021,4.515596e-04,4.306750e-09,0.024923
701,1.831882,303.8524,312.3297,4.514918e-04,4.306266e-09,0.024930
702,1.831459,303.8575,312.3573,4.514242e-04,4.305782e-09,0.024937
703,1.831035,303.8625,312.3848,4.513565e-04,4.305298e-09,0.024944
704,1.830613,303.8676,312.4124,4.512889e-04,4.304815e-09,0.024951
705,1.830190,303.8727,312.4399,4.512214e-04,4.304332e-09,0.024958
706,1.829768,303.8777,312.4674,4.511539e-04,4.303849e-09,0.024964
707,1.829347,303.8828,312.4949,4.510865e-04,4.303367e-09,0.024971
708,1.828926,303.8878,312.5223,4.510192e-04,4.302885e-09,0.024978
709,1.828505,303.8929,312.5498,4.509519e-04,4.302403e-09,0.024985
710,1.828085,303.8979,312.5772,4.508846e-04,4.301921e-09,0.024992
